Triple,Model Score,SUBJECT_CUI,SUBJECT_NAME,PREDICATE,OBJECT_CUI,OBJECT_NAME,PMID_List,PubMed_URLs,PMID_Details
"[3513, 9, 4062]",[1.4840657711029053],C0030140,hydroxyamfetamine,TREATS,C0034686,Rat-Bite Fever,,,
"[6661, 9, 2242]",[1.4513071775436401],C0142825,sodium citrate,TREATS,C0019163,Hepatitis B,"['24720911', '7738148', '2215759', '2801726', '18546103']","['24720911: https://pubmed.ncbi.nlm.nih.gov/24720911', '7738148: https://pubmed.ncbi.nlm.nih.gov/7738148', '2215759: https://pubmed.ncbi.nlm.nih.gov/2215759', '2801726: https://pubmed.ncbi.nlm.nih.gov/2801726', '18546103: https://pubmed.ncbi.nlm.nih.gov/18546103']","{'24720911': {'Title': 'A single-tube nucleotide isolation reagent for the quantitative PCR detection of virus in body fluids.', 'Authors': 'Liu H, Wu Y, Liu C, He J', 'Source': 'J Virol Methods', 'PubDate': '2014 Jul', 'DOI': '10.1016/j.jviromet.2014.01.004', 'Volume': '203', 'Issue': '', 'Pages': '81-7', 'URL': '24720911: https://pubmed.ncbi.nlm.nih.gov/24720911'}, '7738148': {'Title': 'Detection of hepatitis B and woodchuck hepatitis viral DNA in plasma and mononuclear cells from heparinized blood by the polymerase chain reaction.', 'Authors': 'Pardoe IU, Michalak TI', 'Source': 'J Virol Methods', 'PubDate': '1995 Feb', 'DOI': '10.1016/0166-0934(94)00116-x', 'Volume': '51', 'Issue': '2-3', 'Pages': '277-88', 'URL': '7738148: https://pubmed.ncbi.nlm.nih.gov/7738148'}, '2215759': {'Title': '[The use of a mixture of citrated erythrocytes and heparin plasma for exchange transfusions].', 'Authors': 'Brink MA, Derks MJ, Pietersz RN, Reesink HW', 'Source': 'Ned Tijdschr Geneeskd', 'PubDate': '1990 Sep 22', 'DOI': 'No DOI available', 'Volume': '134', 'Issue': '38', 'Pages': '1856-9', 'URL': '2215759: https://pubmed.ncbi.nlm.nih.gov/2215759'}, '2801726': {'Title': 'Purification and large-scale preparation of antithrombin III.', 'Authors': 'Hoffman DL', 'Source': 'Am J Med', 'PubDate': '1989 Sep 11', 'DOI': '10.1016/0002-9343(89)80527-3', 'Volume': '87', 'Issue': '3B', 'Pages': '23S-26S', 'URL': '2801726: https://pubmed.ncbi.nlm.nih.gov/2801726'}, '18546103': {'Title': 'Kinetics of thermal denaturation of antithrombin III.', 'Authors': 'Mitra G, Schneider PM, Lundblad JL', 'Source': 'Biotechnol Bioeng', 'PubDate': '1982 Jan', 'DOI': '10.1002/bit.260240109', 'Volume': '24', 'Issue': '1', 'Pages': '97-107', 'URL': '18546103: https://pubmed.ncbi.nlm.nih.gov/18546103'}}"
"[1329, 9, 3151]",[1.393891453742981],C0011276,demeclocycline,TREATS,C0026603,Motion Sickness,,,
"[6519, 9, 12497]",[1.3642786741256714],C0108938,cefpodoxime proxetil,TREATS,C1290884,Inflammatory disorder,"['33109179', '23845192', '9819592']","['33109179: https://pubmed.ncbi.nlm.nih.gov/33109179', '23845192: https://pubmed.ncbi.nlm.nih.gov/23845192', '9819592: https://pubmed.ncbi.nlm.nih.gov/9819592']","{'33109179': {'Title': 'Isolation and characterization of Uropathogenic Escherichia coli (UPEC) from red panda (Ailurus fulgens).', 'Authors': 'Liu S, Li Y, Yue C, Zhang D, Su X, Yan X, Yang K, Chen X, Zhuo G, Cai T, Liu J, Peng X, Hou R', 'Source': 'BMC Vet Res', 'PubDate': '2020 Oct 27', 'DOI': '10.1186/s12917-020-02624-9', 'Volume': '16', 'Issue': '1', 'Pages': '404', 'URL': '33109179: https://pubmed.ncbi.nlm.nih.gov/33109179'}, '23845192': {'Title': 'Cefpodoxime proxetil-related hemolysis and acute interstitial nephritis.', 'Authors': 'Yilmaz H, Bilgiç MA, Bavbek N, Akçay A', 'Source': 'Curr Drug Saf', 'PubDate': '2013 Apr', 'DOI': '10.2174/15748863113089990028', 'Volume': '8', 'Issue': '2', 'Pages': '145-7', 'URL': '23845192: https://pubmed.ncbi.nlm.nih.gov/23845192'}, '9819592': {'Title': '[Can aminopenicillin be prescribed as monotherapy in case of community-acquired pneumonia?].', 'Authors': 'Léophonte P', 'Source': 'Presse Med', 'PubDate': '1998 Oct 17', 'DOI': 'No DOI available', 'Volume': '27', 'Issue': '31', 'Pages': '1580-1', 'URL': '9819592: https://pubmed.ncbi.nlm.nih.gov/9819592'}}"
"[5875, 9, 1872]",[1.2715121507644653],C0071836,prednicarbate,TREATS,C0016053,Fibromyalgia,,,
"[11046, 9, 9348]",[1.251204252243042],C0753645,gatifloxacin,TREATS,C0405580,Adrenal cortical hypofunction,,,
"[560, 9, 3565]",[1.244802474975586],C0005059,benzocaine,TREATS,C0030578,Paronychia Inflammation,,,
"[565, 9, 1774]",[1.2373415231704712],C0005098,benzatropine,TREATS,C0015230,Exanthema,,,
"[612, 9, 1639]",[1.1440160274505615],C0005632,bisacodyl,TREATS,C0014122,Subacute Bacterial Endocarditis,,,
"[4594, 9, 1680]",[1.1297667026519775],C0039512,Teniposide,TREATS,C0014488,Epicondylitis,,,
"[9080, 9, 12356]",[1.045966386795044],C0360384,Oral form acyclovir,TREATS,C1260880,Rhinorrhea,,,
"[15145, 9, 2597]",[1.026609182357788],C4524315,larotrectinib,TREATS,C0022073,Iridocyclitis,,,
"[5974, 9, 2823]",[1.0228981971740723],C0075007,spirapril,TREATS,C0023890,Liver Cirrhosis,['8276049'],['8276049: https://pubmed.ncbi.nlm.nih.gov/8276049'],"{'8276049': {'Title': 'Pharmacokinetics and haemodynamic effects of a single oral dose of the novel ACE inhibitor spirapril in patients with chronic liver disease.', 'Authors': 'Krähenbühl S, Grass P, Surve A, Kutz K, Reichen J', 'Source': 'Eur J Clin Pharmacol', 'PubDate': '1993', 'DOI': '10.1007/BF00315391', 'Volume': '45', 'Issue': '3', 'Pages': '247-53', 'URL': '8276049: https://pubmed.ncbi.nlm.nih.gov/8276049'}}"
"[5488, 9, 2373]",[1.0185807943344116],C0059874,etoposide phosphate,TREATS,C0020476,Hyperlipoproteinemias,,,
"[344, 9, 2363]",[0.9868355989456177],C0003204,Anti-Infective Agents,TREATS,C0020443,hypercholesterolemia,"['39181298', '39153251', '38932112', '38578332', '38568825', '38547729', '38484559', '38055983', '37894485', '37882606']","['39181298: https://pubmed.ncbi.nlm.nih.gov/39181298', '39153251: https://pubmed.ncbi.nlm.nih.gov/39153251', '38932112: https://pubmed.ncbi.nlm.nih.gov/38932112', '38578332: https://pubmed.ncbi.nlm.nih.gov/38578332', '38568825: https://pubmed.ncbi.nlm.nih.gov/38568825', '38547729: https://pubmed.ncbi.nlm.nih.gov/38547729', '38484559: https://pubmed.ncbi.nlm.nih.gov/38484559', '38055983: https://pubmed.ncbi.nlm.nih.gov/38055983', '37894485: https://pubmed.ncbi.nlm.nih.gov/37894485', '37882606: https://pubmed.ncbi.nlm.nih.gov/37882606']","{'39181298': {'Title': 'Co-exposure to parabens, bisphenol A, and triclosan and the associations with dyslipidemia in Chinese older adults: The mediation effect of oxidative stress.', 'Authors': 'Guo Z, Ren X, Liu P, Deng Y, Bian J, Ge Y, Xu B, Tang X, Li X, Huang H, Liu J, Lu S', 'Source': 'Environ Res', 'PubDate': '2024 Dec 1', 'DOI': '10.1016/j.envres.2024.119835', 'Volume': '262', 'Issue': 'Pt 1', 'Pages': '119835', 'URL': '39181298: https://pubmed.ncbi.nlm.nih.gov/39181298'}, '39153251': {'Title': 'Cardioprotective potential of oleuropein, hydroxytyrosol, oleocanthal and their combination: Unravelling complementary effects on acute myocardial infarction and metabolic syndrome.', 'Authors': 'Christodoulou A, Nikolaou PE, Symeonidi L, Katogiannis K, Pechlivani L, Nikou T, Varela A, Chania C, Zerikiotis S, Efentakis P, Vlachodimitropoulos D, Katsoulas N, Agapaki A, Dimitriou C, Tsoumani M, Kostomitsopoulos N, Davos CH, Skaltsounis AL, Tselepis A, Halabalaki M, Tseti I, Iliodromitis EK, Ikonomidis I, Andreadou I', 'Source': 'Redox Biol', 'PubDate': '2024 Oct', 'DOI': '10.1016/j.redox.2024.103311', 'Volume': '76', 'Issue': '', 'Pages': '103311', 'URL': '39153251: https://pubmed.ncbi.nlm.nih.gov/39153251'}, '38932112': {'Title': 'Lack of Association of Vascular Risk Factors with HIV-Associated Neurocognitive Disorders in cART-Treated Adults Aged ≥ 50 Years in Tanzania.', 'Authors': 'Flack KA, Rainey ES, Urasa SJ, Koipapi S, Kalaria RN, Howlett WP, Mukaetova-Ladinska EB, Dekker MCJ, Gray WK, Walker RW, Dotchin CL, Mtwaile H, Lewis TCD, Stone LG, McNally RJQ, Makupa PC, Paddick SM', 'Source': 'Viruses', 'PubDate': '2024 May 22', 'DOI': '10.3390/v16060819', 'Volume': '16', 'Issue': '6', 'Pages': '', 'URL': '38932112: https://pubmed.ncbi.nlm.nih.gov/38932112'}, '38578332': {'Title': 'Factors associated with early hydroxychloroquine-induced retinal toxicity in patients with systemic lupus erythematosus.', 'Authors': 'Araújo O, Hernández-Negrín H, Casaroli-Marano RP, Hernández-Rodríguez J, Adán A, Espinosa G, Pelegrín L, Cervera R', 'Source': 'Graefes Arch Clin Exp Ophthalmol', 'PubDate': '2024 Sep', 'DOI': '10.1007/s00417-024-06461-6', 'Volume': '262', 'Issue': '9', 'Pages': '2823-2832', 'URL': '38578332: https://pubmed.ncbi.nlm.nih.gov/38578332'}, '38568825': {'Title': 'Butyric acid and prospects for creation of new medicines based on its derivatives: a literature review.', 'Authors': ""Gerunova LK, Gerunov TV, P'yanova LG, Lavrenov AV, Sedanova AV, Delyagina MS, Fedorov YN, Kornienko NV, Kryuchek YO, Tarasenko AA"", 'Source': 'J Vet Sci', 'PubDate': '2024 Mar', 'DOI': '10.4142/jvs.23230', 'Volume': '25', 'Issue': '2', 'Pages': 'e23', 'URL': '38568825: https://pubmed.ncbi.nlm.nih.gov/38568825'}, '38547729': {'Title': 'In vivo chronic exposure to inorganic mercury worsens hypercholesterolemia, oxidative stress and atherosclerosis in the LDL receptor knockout mice.', 'Authors': 'Queiroz MIC, Lazaro CM, Dos Santos LMB, Rentz T, Virgilio-da-Silva JV, Moraes-Vieira PMM, Cunha FAS, Santos JCC, Vercesi AE, Leite ACR, Oliveira HCF', 'Source': 'Ecotoxicol Environ Saf', 'PubDate': '2024 Apr 15', 'DOI': '10.1016/j.ecoenv.2024.116254', 'Volume': '275', 'Issue': '', 'Pages': '116254', 'URL': '38547729: https://pubmed.ncbi.nlm.nih.gov/38547729'}, '38484559': {'Title': 'Tangshen formula targets the gut microbiota to treat non-alcoholic fatty liver disease in HFD mice: A 16S rRNA and non-targeted metabolomics analyses.', 'Authors': 'Wang S, Li X, Zhang B, Li Y, Chen K, Qi H, Gao M, Rong J, Liu L, Wan Y, Dong X, Yan M, Ma L, Li P, Zhao T', 'Source': 'Biomed Pharmacother', 'PubDate': '2024 Apr', 'DOI': '10.1016/j.biopha.2024.116405', 'Volume': '173', 'Issue': '', 'Pages': '116405', 'URL': '38484559: https://pubmed.ncbi.nlm.nih.gov/38484559'}, '38055983': {'Title': 'Foamy Macrophages in a Case of Mononucleosis With Amoxicillin-Induced Rash, Hyperlipidemia, and Hemophagocytic Lymphohistiocytosis.', 'Authors': 'Gonzalez-Lopez G, Fried I, Schadelbauer E, Cerroni L', 'Source': 'Am J Dermatopathol', 'PubDate': '2024 Feb 1', 'DOI': '10.1097/DAD.0000000000002604', 'Volume': '46', 'Issue': '2', 'Pages': '104-106', 'URL': '38055983: https://pubmed.ncbi.nlm.nih.gov/38055983'}, '37894485': {'Title': 'Determination of Luteolin 7-Glucuronide in Perilla frutescens (L.) Britt. Leaf Extracts from Different Regions of China and Republic of Korea and Its Cholesterol-Lowering Effect.', 'Authors': 'Wu Z, Lee S, Kang B, Lee S, Koo K, Lee J, Lim S', 'Source': 'Molecules', 'PubDate': '2023 Oct 10', 'DOI': '10.3390/molecules28207007', 'Volume': '28', 'Issue': '20', 'Pages': '', 'URL': '37894485: https://pubmed.ncbi.nlm.nih.gov/37894485'}, '37882606': {'Title': 'Canonical Wnt pathway and the LDL receptor superfamily in neuronal cholesterol homeostasis and function.', 'Authors': 'Borrell-Pages M, Luquero A, Vilahur G, Padró T, Badimon L', 'Source': 'Cardiovasc Res', 'PubDate': '2024 Mar 13', 'DOI': '10.1093/cvr/cvad159', 'Volume': '120', 'Issue': '2', 'Pages': '140-151', 'URL': '37882606: https://pubmed.ncbi.nlm.nih.gov/37882606'}}"
"[13950, 9, 1684]",[0.9820420742034912],C2348241,alcaftadine,TREATS,C0014547,"Epilepsies, Partial",,,
"[2147, 9, 14094]",[0.9672706127166748],C0018513,halcinonide,TREATS,C2711256,Ischemic priapism,,,
"[5662, 9, 6890]",[0.944145679473877],C0065228,lucifer yellow,TREATS,C0157749,Arthropathy associated with infection,,,
"[13354, 9, 9220]",[0.8810657262802124],C1572489,magnesium sulfate anhydrous,TREATS,C0392445,Necrobiosis Lipoidica Diabeticorum,,,
"[6387, 9, 4180]",[0.8753910064697266],C0086123,Deoxycholate,TREATS,C0035460,"Rhinitis, Vasomotor",,,
"[14307, 9, 8342]",[0.870320200920105],C2973895,lixisenatide,TREATS,C0276688,Pulmonary cryptococcosis,,,
"[5581, 9, 448]",[0.7833068370819092],C0062515,heparin-sepharose,TREATS,C0003872,"Arthritis, Psoriatic",,,
"[14555, 9, 463]",[0.7258443832397461],C3536880,nicotinic acid,TREATS,C0004030,Aspergillosis,"['29370392', '8565941']","['29370392: https://pubmed.ncbi.nlm.nih.gov/29370392', '8565941: https://pubmed.ncbi.nlm.nih.gov/8565941']","{'29370392': {'Title': 'Subacute Invasive Aspergillosis Associated With Sorafenib Therapy for Hepatocellular Carcinoma.', 'Authors': 'Bazaz R, Denning DW', 'Source': 'Clin Infect Dis', 'PubDate': '2018 Jun 18', 'DOI': '10.1093/cid/ciy038', 'Volume': '67', 'Issue': '1', 'Pages': '156-157', 'URL': '29370392: https://pubmed.ncbi.nlm.nih.gov/29370392'}, '8565941': {'Title': 'Corneal stromal abscesses in the horse: a review of 24 cases.', 'Authors': 'Hendrix DV, Brooks DE, Smith PJ, Gelatt KN, Miller TR, Whittaker C, Pellicane C, Chmielewski N', 'Source': 'Equine Vet J', 'PubDate': '1995 Nov', 'DOI': '10.1111/j.2042-3306.1995.tb04425.x', 'Volume': '27', 'Issue': '6', 'Pages': '440-7', 'URL': '8565941: https://pubmed.ncbi.nlm.nih.gov/8565941'}}"
"[2789, 9, 13923]",[0.597732424736023],C0023726,Lincomycin,TREATS,C2267227,Bulimia Nervosa,,,
"[6593, 9, 2369]",[0.5805825591087341],C0126789,magnesium salicylate,TREATS,C0020459,Hyperinsulinism,,,
"[7744, 9, 10864]",[0.5664911866188049],C0211011,ziconotide,TREATS,C0729586,Infective otitis media,,,
"[11706, 9, 1556]",[0.5500221252441406],C0913246,valdecoxib,TREATS,C0013370,Amebic colitis,,,
"[14150, 9, 1364]",[0.45235633850097656],C2743630,benzylpenicillin,TREATS,C0011633,Dermatomyositis,"['28224486', '14994998', '1395222', '2383066', '6592972', '6859880', '6803913', '162143', '20835', '4369712']","['28224486: https://pubmed.ncbi.nlm.nih.gov/28224486', '14994998: https://pubmed.ncbi.nlm.nih.gov/14994998', '1395222: https://pubmed.ncbi.nlm.nih.gov/1395222', '2383066: https://pubmed.ncbi.nlm.nih.gov/2383066', '6592972: https://pubmed.ncbi.nlm.nih.gov/6592972', '6859880: https://pubmed.ncbi.nlm.nih.gov/6859880', '6803913: https://pubmed.ncbi.nlm.nih.gov/6803913', '162143: https://pubmed.ncbi.nlm.nih.gov/162143', '20835: https://pubmed.ncbi.nlm.nih.gov/20835', '4369712: https://pubmed.ncbi.nlm.nih.gov/4369712']","{'28224486': {'Title': 'Human herpes virus-6 encephalitis causing severe anterograde amnesia associated with rituximab, azathioprine and prednisolone combination therapy for dermatomyositis.', 'Authors': 'Baumer T, Fry C, Luppe S, Gunawardena H, Sieradzan K', 'Source': 'J Neurovirol', 'PubDate': '2017 Jun', 'DOI': '10.1007/s13365-017-0517-0', 'Volume': '23', 'Issue': '3', 'Pages': '508-510', 'URL': '28224486: https://pubmed.ncbi.nlm.nih.gov/28224486'}, '14994998': {'Title': 'Vascular and connective tissue diseases in the paediatric world.', 'Authors': 'Falcini F', 'Source': 'Lupus', 'PubDate': '2004', 'DOI': '10.1191/0961203304lu517rr', 'Volume': '13', 'Issue': '2', 'Pages': '77-84', 'URL': '14994998: https://pubmed.ncbi.nlm.nih.gov/14994998'}, '1395222': {'Title': 'Molecular detection of persistent Borrelia burgdorferi in a man with dermatomyositis.', 'Authors': 'Fraser DD, Kong LI, Miller FW', 'Source': 'Clin Exp Rheumatol', 'PubDate': '1992 Jul-Aug', 'DOI': 'No DOI available', 'Volume': '10', 'Issue': '4', 'Pages': '387-90', 'URL': '1395222: https://pubmed.ncbi.nlm.nih.gov/1395222'}, '2383066': {'Title': 'Dermatomyositis following chronic staphylococcal joint sepsis.', 'Authors': 'Lane S, Doherty M, Powell RJ', 'Source': 'Ann Rheum Dis', 'PubDate': '1990 Jun', 'DOI': '10.1136/ard.49.6.405', 'Volume': '49', 'Issue': '6', 'Pages': '405-6', 'URL': '2383066: https://pubmed.ncbi.nlm.nih.gov/2383066'}, '6592972': {'Title': 'Penicillamine-induced myositis. Observations and unique features in two patients and review of the literature.', 'Authors': 'Halla JT, Fallahi S, Koopman WJ', 'Source': 'Am J Med', 'PubDate': '1984 Oct', 'DOI': '10.1016/0002-9343(84)90371-1', 'Volume': '77', 'Issue': '4', 'Pages': '719-22', 'URL': '6592972: https://pubmed.ncbi.nlm.nih.gov/6592972'}, '6859880': {'Title': 'Toxic reaction to methotrexate in a patient receiving penicillin and furosemide: a possible interaction.', 'Authors': 'Nierenberg DW, Mamelok RD', 'Source': 'Arch Dermatol', 'PubDate': '1983 Jun', 'DOI': '10.1001/archderm.119.6.449', 'Volume': '119', 'Issue': '6', 'Pages': '449-50', 'URL': '6859880: https://pubmed.ncbi.nlm.nih.gov/6859880'}, '6803913': {'Title': 'Haemophilus influenza type b resistant to both chloramphenicol and ampicillin in Britain.', 'Authors': 'Macmahon P, Sills J, Hall E, Fitzgerald T', 'Source': 'Br Med J (Clin Res Ed)', 'PubDate': '1982 Apr 24', 'DOI': '10.1136/bmj.284.6324.1229', 'Volume': '284', 'Issue': '6324', 'Pages': '1229', 'URL': '6803913: https://pubmed.ncbi.nlm.nih.gov/6803913'}, '162143': {'Title': ""[Positive side-effects of antibiotic and antimicrobial drugs in therapy (author's transl)]."", 'Authors': 'Illig L', 'Source': 'Infection', 'PubDate': '1979', 'DOI': '10.1007/BF01659741', 'Volume': '7 Suppl 6', 'Issue': '', 'Pages': '584-8', 'URL': '162143: https://pubmed.ncbi.nlm.nih.gov/162143'}, '20835': {'Title': '[Side effects of antibiotics in rheumatic diseases].', 'Authors': 'Matveĭkov GP, Pshonik SS, Poliakova TI, Aronin TsS', 'Source': 'Antibiotiki', 'PubDate': '1977 Sep', 'DOI': 'No DOI available', 'Volume': '22', 'Issue': '9', 'Pages': '813-6', 'URL': '20835: https://pubmed.ncbi.nlm.nih.gov/20835'}, '4369712': {'Title': 'A case of atrial myxoma.', 'Authors': 'McWhirter WR, Tetteh-Lartey EV', 'Source': 'Br Heart J', 'PubDate': '1974 Aug', 'DOI': '10.1136/hrt.36.8.839', 'Volume': '36', 'Issue': '8', 'Pages': '839-40', 'URL': '4369712: https://pubmed.ncbi.nlm.nih.gov/4369712'}}"
"[3915, 9, 13923]",[0.4381040334701538],C0033447,propantheline,TREATS,C2267227,Bulimia Nervosa,,,
"[5360, 9, 1994]",[0.3792042136192322],C0055900,clocortolone pivalate,TREATS,C0017160,Gastroenteritis,,,
"[3506, 9, 6952]",[0.3456927537918091],C0030077,oxypertine,TREATS,C0162627,"Skin Diseases, Bacterial",,,
"[15470, 9, 2679]",[0.32703036069869995],C5139934,tirzepatide,TREATS,C0022729,Klebsiella Infections,,,
"[4502, 9, 10552]",[0.3087334632873535],C0038665,Sulbactam,TREATS,C0686510,Carcinoma in situ of adrenal cortex,,,
"[5211, 9, 8288]",[0.2958567142486572],C0052759,azatadine,TREATS,C0271152,Malignant glaucoma,,,
"[347, 9, 6860]",[0.24828577041625977],C0003211,"Anti-Inflammatory Agents, Non-Steroidal",TREATS,C0154301,Acquired thrombocytopenia,"['31228952', '28403751', '24662111', '19132161', '16304411', '12471786', '10027100']","['31228952: https://pubmed.ncbi.nlm.nih.gov/31228952', '28403751: https://pubmed.ncbi.nlm.nih.gov/28403751', '24662111: https://pubmed.ncbi.nlm.nih.gov/24662111', '19132161: https://pubmed.ncbi.nlm.nih.gov/19132161', '16304411: https://pubmed.ncbi.nlm.nih.gov/16304411', '12471786: https://pubmed.ncbi.nlm.nih.gov/12471786', '10027100: https://pubmed.ncbi.nlm.nih.gov/10027100']","{'31228952': {'Title': 'Diclofenac-induced thrombotic thrombocytopenic purpura with concomitant complement dysregulation: a case report and review of the literature.', 'Authors': 'Lara JP, Santana Y, Gaddam M, Ali A, Malik S, Khaja M', 'Source': 'J Med Case Rep', 'PubDate': '2019 Jun 23', 'DOI': '10.1186/s13256-019-2097-5', 'Volume': '13', 'Issue': '1', 'Pages': '190', 'URL': '31228952: https://pubmed.ncbi.nlm.nih.gov/31228952'}, '28403751': {'Title': 'Management of dengue in Australian travellers: a retrospective multicentre analysis.', 'Authors': 'Tai AY, McGuinness SL, Robosa R, Turner D, Huang GK, Leder K, Korman TM, Thevarajan I, Stewardson AJ, Padiglione AA, Johnson DF', 'Source': 'Med J Aust', 'PubDate': '2017 Apr 17', 'DOI': '10.5694/mja16.01056', 'Volume': '206', 'Issue': '7', 'Pages': '295-300', 'URL': '28403751: https://pubmed.ncbi.nlm.nih.gov/28403751'}, '24662111': {'Title': 'Drug-induced thrombocytopenia in the critically ill: a case-control study.', 'Authors': 'Williamson DR, Lesur O, Tétrault JP, Pilon D', 'Source': 'Ann Pharmacother', 'PubDate': '2014 Jun', 'DOI': '10.1177/1060028013519065', 'Volume': '48', 'Issue': '6', 'Pages': '697-704', 'URL': '24662111: https://pubmed.ncbi.nlm.nih.gov/24662111'}, '19132161': {'Title': '[Acquired platelet function disorders: pathogenesis, classification, frequency, diagnosis, clinical management].', 'Authors': 'Scharf RE', 'Source': 'Hamostaseologie', 'PubDate': '2008 Dec', 'DOI': 'No DOI available', 'Volume': '28', 'Issue': '5', 'Pages': '299-311', 'URL': '19132161: https://pubmed.ncbi.nlm.nih.gov/19132161'}, '16304411': {'Title': 'Acquired disorders of platelet function.', 'Authors': 'Hassan AA, Kroll MH', 'Source': 'Hematology Am Soc Hematol Educ Program', 'PubDate': '2005', 'DOI': '10.1182/asheducation-2005.1.403', 'Volume': '', 'Issue': '', 'Pages': '403-8', 'URL': '16304411: https://pubmed.ncbi.nlm.nih.gov/16304411'}, '12471786': {'Title': '[Effects of plasma substitutes on hemostasis].', 'Authors': 'Blanloeil Y, Trossaërt M, Rigal JC, Rozec B', 'Source': 'Ann Fr Anesth Reanim', 'PubDate': '2002 Oct', 'DOI': '10.1016/s0750-7658(02)00695-0', 'Volume': '21', 'Issue': '8', 'Pages': '648-67', 'URL': '12471786: https://pubmed.ncbi.nlm.nih.gov/12471786'}, '10027100': {'Title': 'Thrombotic microangiopathies and HIV infection: report of two typical cases, features of HUS and TTP, and review of the literature.', 'Authors': 'Sutor GC, Schmidt RE, Albrecht H', 'Source': 'Infection', 'PubDate': '1999 Jan-Feb', 'DOI': '10.1007/BF02565164', 'Volume': '27', 'Issue': '1', 'Pages': '12-5', 'URL': '10027100: https://pubmed.ncbi.nlm.nih.gov/10027100'}}"
"[5693, 9, 3990]",[0.226479172706604],C0065841,meclocycline,TREATS,C0034050,Pulmonary Alveolar Proteinosis,,,
"[798, 9, 11608]",[0.21260720491409302],C0007047,carboprost,TREATS,C0878773,Overactive Bladder,,,
"[185, 9, 8295]",[0.21023833751678467],C0002164,almitrine,TREATS,C0271623,Hypogonadotropic hypogonadism,,,
"[3601, 9, 3584]",[0.18596547842025757],C0030830,procaine benzylpenicillin,TREATS,C0030759,Infestation by Phthirus pubis,,,
"[14483, 9, 4945]",[0.16875135898590088],C3484509,"alcohol, x-ray exposed (1000 rad)",TREATS,C0042164,Uveitis,,,
"[579, 9, 8316]",[0.15898460149765015],C0005308,Betamethasone,TREATS,C0275555,Acute bacterial epiglottitis,,,
"[15116, 9, 5092]",[0.08120560646057129],C4519317,vaborbactam,TREATS,C0043515,Zollinger-Ellison syndrome,,,
"[15225, 9, 3533]",[0.0659685730934143],C4550350,ravulizumab,TREATS,C0030305,Pancreatitis,"['35491214', '33717763', '33680585']","['35491214: https://pubmed.ncbi.nlm.nih.gov/35491214', '33717763: https://pubmed.ncbi.nlm.nih.gov/33717763', '33680585: https://pubmed.ncbi.nlm.nih.gov/33680585']","{'35491214': {'Title': '[Perioperative management of laparoscopic cholecystectomy in a patient with paroxysmal nocturnal haemoglobinuria undergoing ravulizumab treatment].', 'Authors': 'Kimura M, Nishiyama Y, Ueda H, Kitajo A, Arimatsu T, Kuboki M, Takahata A, Saito M, Sakashita C, Okada K, Umezawa Y, Nagao T, Yamamoto M, Tohda S, Tanabe M, Mori T, Nogami A', 'Source': 'Rinsho Ketsueki', 'PubDate': '2022', 'DOI': '10.11406/rinketsu.63.260', 'Volume': '63', 'Issue': '4', 'Pages': '260-264', 'URL': '35491214: https://pubmed.ncbi.nlm.nih.gov/35491214'}, '33717763': {'Title': 'Atypical Hemolytic Uremic Syndrome: Cancer-Induced or Chemotherapy-Induced?', 'Authors': 'Sethi A, Moses R', 'Source': 'Cureus', 'PubDate': '2021 Feb 10', 'DOI': '10.7759/cureus.13260', 'Volume': '13', 'Issue': '2', 'Pages': 'e13260', 'URL': '33717763: https://pubmed.ncbi.nlm.nih.gov/33717763'}, '33680585': {'Title': 'A Case of Gemcitabine-Induced Thrombotic Microangiopathy Treated With Ravulizumab in a Patient With Stage IV Pancreatic Cancer.', 'Authors': 'MacDougall KN, Schwartz B, Harewood J, Bukhari Z, Neculiseanu E', 'Source': 'Cureus', 'PubDate': '2021 Jan 31', 'DOI': '10.7759/cureus.13031', 'Volume': '13', 'Issue': '1', 'Pages': 'e13031', 'URL': '33680585: https://pubmed.ncbi.nlm.nih.gov/33680585'}}"
